name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Amundi Core MSCI Europe UCITS ETF Acc,ETF,LU1437015735,Akkumulerende,CEU2.L,LSE,https://finance.yahoo.com/quote/CEU2.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Core STOXX Europe 600 UCITS ETF Acc,ETF,LU0908500753,Akkumulerende,MEUD.PA,PAR,https://finance.yahoo.com/quote/MEUD.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi DAX III UCITS ETF Acc,ETF,LU0252633754,Akkumulerende,LYY7.DE,GER,https://finance.yahoo.com/quote/LYY7.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi EURO STOXX 50 UCITS ETF DR - EUR (C),ETF,LU1681047236,Akkumulerende,C50.PA,PAR,https://finance.yahoo.com/quote/C50.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Euro Stoxx Banks UCITS ETF Acc,ETF,LU1829219390,Akkumulerende,BNKE.PA,PAR,https://finance.yahoo.com/quote/BNKE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Bioenergy UCITS ETF EUR Acc,ETF,LU1681046006,Akkumulerende,CWE.PA,PAR,https://finance.yahoo.com/quote/CWE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Equity Quality Income UCITS ETF Dist,ETF,LU0832436512,Distribuerende,SGQI.PA,PAR,https://finance.yahoo.com/quote/SGQI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Gender Equality UCITS ETF Acc,ETF,LU1691909508,Akkumulerende,ELLE.L,LSE,https://finance.yahoo.com/quote/ELLE.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Memory Chips UCITS ETF Acc,ETF,LU2023678282,Akkumulerende,UNIC.L,LSE,https://finance.yahoo.com/quote/UNIC.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Japan Topix II Ucits ETF,ETF,FR0010245514,Distribuerende,JPN.PA,PAR,https://finance.yahoo.com/quote/JPN.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
